Province/State,Country/Region,Lat,Long,Date,Value
,Afghanistan,33,65,2020-03-24,74
,Afghanistan,33,65,2020-03-23,40
,Afghanistan,33,65,2020-03-22,40
,Afghanistan,33,65,2020-03-21,24
,Afghanistan,33,65,2020-03-20,24
,Afghanistan,33,65,2020-03-19,22
,Afghanistan,33,65,2020-03-18,22
,Afghanistan,33,65,2020-03-17,22
,Afghanistan,33,65,2020-03-16,21
,Afghanistan,33,65,2020-03-15,16
,Afghanistan,33,65,2020-03-14,11
,Afghanistan,33,65,2020-03-13,7
,Afghanistan,33,65,2020-03-12,7
,Afghanistan,33,65,2020-03-11,7
,Afghanistan,33,65,2020-03-10,5
,Afghanistan,33,65,2020-03-09,4
,Afghanistan,33,65,2020-03-08,4
,Afghanistan,33,65,2020-03-07,1
,Afghanistan,33,65,2020-03-06,1
,Afghanistan,33,65,2020-03-05,1
,Afghanistan,33,65,2020-03-04,1
,Afghanistan,33,65,2020-03-03,1
,Afghanistan,33,65,2020-03-02,1
,Afghanistan,33,65,2020-03-01,1
,Afghanistan,33,65,2020-02-29,1
,Afghanistan,33,65,2020-02-28,1
,Afghanistan,33,65,2020-02-27,1
,Afghanistan,33,65,2020-02-26,1
,Afghanistan,33,65,2020-02-25,1
,Afghanistan,33,65,2020-02-24,1
,Afghanistan,33,65,2020-02-23,0
,Afghanistan,33,65,2020-02-22,0
,Afghanistan,33,65,2020-02-21,0
,Afghanistan,33,65,2020-02-20,0
,Afghanistan,33,65,2020-02-19,0
,Afghanistan,33,65,2020-02-18,0
,Afghanistan,33,65,2020-02-17,0
,Afghanistan,33,65,2020-02-16,0
,Afghanistan,33,65,2020-02-15,0
,Afghanistan,33,65,2020-02-14,0
,Afghanistan,33,65,2020-02-13,0
,Afghanistan,33,65,2020-02-12,0
,Afghanistan,33,65,2020-02-11,0
,Afghanistan,33,65,2020-02-10,0
,Afghanistan,33,65,2020-02-09,0
,Afghanistan,33,65,2020-02-08,0
,Afghanistan,33,65,2020-02-07,0
,Afghanistan,33,65,2020-02-06,0
,Afghanistan,33,65,2020-02-05,0
,Afghanistan,33,65,2020-02-04,0
,Afghanistan,33,65,2020-02-03,0
,Afghanistan,33,65,2020-02-02,0
,Afghanistan,33,65,2020-02-01,0
,Afghanistan,33,65,2020-01-31,0
,Afghanistan,33,65,2020-01-30,0
,Afghanistan,33,65,2020-01-29,0
,Afghanistan,33,65,2020-01-28,0
,Afghanistan,33,65,2020-01-27,0
,Afghanistan,33,65,2020-01-26,0
,Afghanistan,33,65,2020-01-25,0
,Afghanistan,33,65,2020-01-24,0
,Afghanistan,33,65,2020-01-23,0
,Afghanistan,33,65,2020-01-22,0
,Albania,41.1533,20.1683,2020-03-24,123
,Albania,41.1533,20.1683,2020-03-23,104
,Albania,41.1533,20.1683,2020-03-22,89
,Albania,41.1533,20.1683,2020-03-21,76
,Albania,41.1533,20.1683,2020-03-20,70
,Albania,41.1533,20.1683,2020-03-19,64
,Albania,41.1533,20.1683,2020-03-18,59
,Albania,41.1533,20.1683,2020-03-17,55
,Albania,41.1533,20.1683,2020-03-16,51
,Albania,41.1533,20.1683,2020-03-15,42
,Albania,41.1533,20.1683,2020-03-14,38
,Albania,41.1533,20.1683,2020-03-13,33
,Albania,41.1533,20.1683,2020-03-12,23
,Albania,41.1533,20.1683,2020-03-11,12
,Albania,41.1533,20.1683,2020-03-10,10
,Albania,41.1533,20.1683,2020-03-09,2
,Albania,41.1533,20.1683,2020-03-08,0
,Albania,41.1533,20.1683,2020-03-07,0
,Albania,41.1533,20.1683,2020-03-06,0
,Albania,41.1533,20.1683,2020-03-05,0
,Albania,41.1533,20.1683,2020-03-04,0
,Albania,41.1533,20.1683,2020-03-03,0
,Albania,41.1533,20.1683,2020-03-02,0
,Albania,41.1533,20.1683,2020-03-01,0
,Albania,41.1533,20.1683,2020-02-29,0
,Albania,41.1533,20.1683,2020-02-28,0
,Albania,41.1533,20.1683,2020-02-27,0
,Albania,41.1533,20.1683,2020-02-26,0
,Albania,41.1533,20.1683,2020-02-25,0
,Albania,41.1533,20.1683,2020-02-24,0
,Albania,41.1533,20.1683,2020-02-23,0
,Albania,41.1533,20.1683,2020-02-22,0
,Albania,41.1533,20.1683,2020-02-21,0
,Albania,41.1533,20.1683,2020-02-20,0
,Albania,41.1533,20.1683,2020-02-19,0
,Albania,41.1533,20.1683,2020-02-18,0
,Albania,41.1533,20.1683,2020-02-17,0
,Albania,41.1533,20.1683,2020-02-16,0
,Albania,41.1533,20.1683,2020-02-15,0
,Albania,41.1533,20.1683,2020-02-14,0
,Albania,41.1533,20.1683,2020-02-13,0
,Albania,41.1533,20.1683,2020-02-12,0
,Albania,41.1533,20.1683,2020-02-11,0
,Albania,41.1533,20.1683,2020-02-10,0
,Albania,41.1533,20.1683,2020-02-09,0
,Albania,41.1533,20.1683,2020-02-08,0
,Albania,41.1533,20.1683,2020-02-07,0
,Albania,41.1533,20.1683,2020-02-06,0
,Albania,41.1533,20.1683,2020-02-05,0
,Albania,41.1533,20.1683,2020-02-04,0
,Albania,41.1533,20.1683,2020-02-03,0
,Albania,41.1533,20.1683,2020-02-02,0
,Albania,41.1533,20.1683,2020-02-01,0
,Albania,41.1533,20.1683,2020-01-31,0
,Albania,41.1533,20.1683,2020-01-30,0
,Albania,41.1533,20.1683,2020-01-29,0
,Albania,41.1533,20.1683,2020-01-28,0
,Albania,41.1533,20.1683,2020-01-27,0
,Albania,41.1533,20.1683,2020-01-26,0
,Albania,41.1533,20.1683,2020-01-25,0
,Albania,41.1533,20.1683,2020-01-24,0
,Albania,41.1533,20.1683,2020-01-23,0
,Albania,41.1533,20.1683,2020-01-22,0
,Algeria,28.0339,1.6596,2020-03-24,264
,Algeria,28.0339,1.6596,2020-03-23,230
,Algeria,28.0339,1.6596,2020-03-22,201
,Algeria,28.0339,1.6596,2020-03-21,139
,Algeria,28.0339,1.6596,2020-03-20,90
,Algeria,28.0339,1.6596,2020-03-19,87
,Algeria,28.0339,1.6596,2020-03-18,74
,Algeria,28.0339,1.6596,2020-03-17,60
,Algeria,28.0339,1.6596,2020-03-16,54
,Algeria,28.0339,1.6596,2020-03-15,48
,Algeria,28.0339,1.6596,2020-03-14,37
,Algeria,28.0339,1.6596,2020-03-13,26
,Algeria,28.0339,1.6596,2020-03-12,24
,Algeria,28.0339,1.6596,2020-03-11,20
,Algeria,28.0339,1.6596,2020-03-10,20
,Algeria,28.0339,1.6596,2020-03-09,20
,Algeria,28.0339,1.6596,2020-03-08,19
,Algeria,28.0339,1.6596,2020-03-07,17
,Algeria,28.0339,1.6596,2020-03-06,17
,Algeria,28.0339,1.6596,2020-03-05,12
,Algeria,28.0339,1.6596,2020-03-04,12
,Algeria,28.0339,1.6596,2020-03-03,5
,Algeria,28.0339,1.6596,2020-03-02,3
,Algeria,28.0339,1.6596,2020-03-01,1
,Algeria,28.0339,1.6596,2020-02-29,1
,Algeria,28.0339,1.6596,2020-02-28,1
,Algeria,28.0339,1.6596,2020-02-27,1
,Algeria,28.0339,1.6596,2020-02-26,1
,Algeria,28.0339,1.6596,2020-02-25,1
,Algeria,28.0339,1.6596,2020-02-24,0
,Algeria,28.0339,1.6596,2020-02-23,0
,Algeria,28.0339,1.6596,2020-02-22,0
,Algeria,28.0339,1.6596,2020-02-21,0
,Algeria,28.0339,1.6596,2020-02-20,0
,Algeria,28.0339,1.6596,2020-02-19,0
,Algeria,28.0339,1.6596,2020-02-18,0
,Algeria,28.0339,1.6596,2020-02-17,0
,Algeria,28.0339,1.6596,2020-02-16,0
,Algeria,28.0339,1.6596,2020-02-15,0
,Algeria,28.0339,1.6596,2020-02-14,0
,Algeria,28.0339,1.6596,2020-02-13,0
,Algeria,28.0339,1.6596,2020-02-12,0
,Algeria,28.0339,1.6596,2020-02-11,0
,Algeria,28.0339,1.6596,2020-02-10,0
,Algeria,28.0339,1.6596,2020-02-09,0
,Algeria,28.0339,1.6596,2020-02-08,0
,Algeria,28.0339,1.6596,2020-02-07,0
,Algeria,28.0339,1.6596,2020-02-06,0
,Algeria,28.0339,1.6596,2020-02-05,0
,Algeria,28.0339,1.6596,2020-02-04,0
,Algeria,28.0339,1.6596,2020-02-03,0
,Algeria,28.0339,1.6596,2020-02-02,0
,Algeria,28.0339,1.6596,2020-02-01,0
,Algeria,28.0339,1.6596,2020-01-31,0
,Algeria,28.0339,1.6596,2020-01-30,0
,Algeria,28.0339,1.6596,2020-01-29,0
,Algeria,28.0339,1.6596,2020-01-28,0
,Algeria,28.0339,1.6596,2020-01-27,0
,Algeria,28.0339,1.6596,2020-01-26,0
,Algeria,28.0339,1.6596,2020-01-25,0
,Algeria,28.0339,1.6596,2020-01-24,0
,Algeria,28.0339,1.6596,2020-01-23,0
,Algeria,28.0339,1.6596,2020-01-22,0
,Andorra,42.5063,1.5218,2020-03-24,164
,Andorra,42.5063,1.5218,2020-03-23,133
,Andorra,42.5063,1.5218,2020-03-22,113
,Andorra,42.5063,1.5218,2020-03-21,88
,Andorra,42.5063,1.5218,2020-03-20,75
,Andorra,42.5063,1.5218,2020-03-19,53
,Andorra,42.5063,1.5218,2020-03-18,39
,Andorra,42.5063,1.5218,2020-03-17,39
,Andorra,42.5063,1.5218,2020-03-16,2
,Andorra,42.5063,1.5218,2020-03-15,1
,Andorra,42.5063,1.5218,2020-03-14,1
,Andorra,42.5063,1.5218,2020-03-13,1
,Andorra,42.5063,1.5218,2020-03-12,1
,Andorra,42.5063,1.5218,2020-03-11,1
